Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame	Comments
C2orf63	0	MSKCC-DMP	P-0004861-T01-IM5	C2orf63-BBC3 fusion	yes	unknown		unknown	BBC3 (NM_001127240) - CLHC1 (NM_001135598) rearrangement: t(19;2)(q13;p16.1)(chr19:g.47729876::chr2:g.55436488) The BBC3 (NM_001127240) rearrangement is a translocation which may result in a truncated BBC3. While this event does not appear to produce a functional gene fusion, we cannot exclude the possibility of a more complex genomic rearrangement that leads to a gene fusion.
ROS1	0	MSKCC-DMP	P-0002707-T03-IM5	CD74-ROS1 fusion	yes	unknown		in frame	CD74 (NM_001025159) - ROS1 (NM_002944)  fusion (CD274 exons 1-6 fused to ROS1 exons 34-43): t(5;6)(q32;q22.1)(chr5:g.49783748::chr6:g.117646946 ) The CD74 (NM_001025159) - ROS1 (NM_002944)  fusion is a reciprocal translocation
CD74	0	MSKCC-DMP	P-0002707-T03-IM5	CD74-ROS1 fusion	yes	unknown		in frame	CD74 (NM_001025159) - ROS1 (NM_002944)  fusion (CD274 exons 1-6 fused to ROS1 exons 34-43): t(5;6)(q32;q22.1)(chr5:g.49783748::chr6:g.117646946 ) The CD74 (NM_001025159) - ROS1 (NM_002944)  fusion is a reciprocal translocation
BRD4	0	MSKCC-DMP	P-0009503-T01-IM5	RSL1D1-BRD4 fusion	yes	unknown		unknown	RSL1D1 (NM_015659) - BRD4 (NM_058243) rearrangement: t(16;19)(p13.13;p13.12)(chr16:g.11933572::chr19:g.15376304) Note: The RSL1D1 (NM_015659) - BRD4 (NM_058243) rearrangement is a translocation that results in the fusion of RSL1D1 exons 1-8 with BRD4 exons 5-20. The breakpoints are within RSLD1 exon 8 and BRD4 exon 5. The functional significance of this rearrangement is undetermined.
RSL1D1	0	MSKCC-DMP	P-0009503-T01-IM5	RSL1D1-BRD4 fusion	yes	unknown		unknown	RSL1D1 (NM_015659) - BRD4 (NM_058243) rearrangement: t(16;19)(p13.13;p13.12)(chr16:g.11933572::chr19:g.15376304) Note: The RSL1D1 (NM_015659) - BRD4 (NM_058243) rearrangement is a translocation that results in the fusion of RSL1D1 exons 1-8 with BRD4 exons 5-20. The breakpoints are within RSLD1 exon 8 and BRD4 exon 5. The functional significance of this rearrangement is undetermined.
PPP2R1A	0	MSKCC-DMP	P-0009503-T01-IM5	ZNF236-PPP2R1A fusion	yes	unknown		unknown	PPP2R1A (NM_014225) rearrangement: t(18;19)(q23;q13.41)(chr18:g.74482654::chr19:g.52719830) Note: The PPP2R1A (NM_014225) rearrangement is a translocation which may result in the truncation of PPP2R1A exons 9-15. The breakpoint is within exon 9. The functional significance of this rearrangement is undetermined.
ZNF236	0	MSKCC-DMP	P-0009503-T01-IM5	ZNF236-PPP2R1A fusion	yes	unknown		unknown	PPP2R1A (NM_014225) rearrangement: t(18;19)(q23;q13.41)(chr18:g.74482654::chr19:g.52719830) Note: The PPP2R1A (NM_014225) rearrangement is a translocation which may result in the truncation of PPP2R1A exons 9-15. The breakpoint is within exon 9. The functional significance of this rearrangement is undetermined.
NFKBIA	0	MSKCC-DMP	P-0006808-T01-IM5	RPS29-NFKBIA fusion	yes	unknown		unknown	NFKBIA(NM_020529) Rearrangement :  c.473_chr14:g.49675988del Note: The NFKBIA(NM_020529) rearrangement results in the deletion of exons 1 to 3 of NFKBIA. One of the breakpoints is within exon 3 .Its functional significance is undetermined.
RPS29	0	MSKCC-DMP	P-0006808-T01-IM5	RPS29-NFKBIA fusion	yes	unknown		unknown	NFKBIA(NM_020529) Rearrangement :  c.473_chr14:g.49675988del Note: The NFKBIA(NM_020529) rearrangement results in the deletion of exons 1 to 3 of NFKBIA. One of the breakpoints is within exon 3 .Its functional significance is undetermined.
PIK3R1	0	MSKCC-DMP	P-0004704-T01-IM5	MUC1-PIK3R1 fusion	yes	unknown		unknown	PIK3R1 (NM_181523) - MUC (NM_001204287) rearrangement : t(1;5)(1q22;5q13.1)(chr1:g.155160349::chr5:g.67591974) Note: The PIK3R1 (NM_181523) - MUC (NM_001204287) rearrangement event is a translocation which potentially results in forming a truncated PIK3R1. Its functional significance is undetermined.
MUC1	0	MSKCC-DMP	P-0004704-T01-IM5	MUC1-PIK3R1 fusion	yes	unknown		unknown	PIK3R1 (NM_181523) - MUC (NM_001204287) rearrangement : t(1;5)(1q22;5q13.1)(chr1:g.155160349::chr5:g.67591974) Note: The PIK3R1 (NM_181523) - MUC (NM_001204287) rearrangement event is a translocation which potentially results in forming a truncated PIK3R1. Its functional significance is undetermined.
FOXO1	0	MSKCC-DMP	P-0008711-T01-IM5	FOXO1-intragenic	yes	unknown		unknown	FOXO1 (NM_002015) rearrangement: c.631-292_c.*9inv The FOXO1 (NM_002015) rearrangement is an inversion of exon2. The functional significance is undetermined.
TP53	0	MSKCC-DMP	P-0009303-T01-IM5	TP53-intragenic	yes	unknown		out of frame	TP53 (NM_000546) rearrangement: c.75-22_c.672+197del. Note: The TP53 (NM_000546) rearrangement is an intragenic deletion of exons 3-6. The functional significance is undetermined.
ERG	0	MSKCC-DMP	P-0007366-T01-IM5	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) -ERG (NM_182918) fusion (TMPRSS2 exons 1 and 2 fused with ERG exons 2 to 10) : c.56-2329:TMPRSS2_c.40-19374:ERGdel
TMPRSS2	0	MSKCC-DMP	P-0007366-T01-IM5	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) -ERG (NM_182918) fusion (TMPRSS2 exons 1 and 2 fused with ERG exons 2 to 10) : c.56-2329:TMPRSS2_c.40-19374:ERGdel
SND1	0	MSKCC-DMP	P-0009619-T01-IM5	BRAF-SND1 fusion	yes	unknown		in frame	SND1 (NM_014390) - BRAF (NM_004333) rearrangement: c.1968+2394:SND1_ c.1314+327:BRAFinv Note: The SND1 (NM_014390) - BRAF (NM_004333) rearrangement is an inversion which results in the fusion of  SND1 exons 1-17 with BRAF exons 11-18. The fusion is predicted to be in frame and includes the kinase domain of BRAF.
BRAF	0	MSKCC-DMP	P-0009619-T01-IM5	BRAF-SND1 fusion	yes	unknown		in frame	SND1 (NM_014390) - BRAF (NM_004333) rearrangement: c.1968+2394:SND1_ c.1314+327:BRAFinv Note: The SND1 (NM_014390) - BRAF (NM_004333) rearrangement is an inversion which results in the fusion of  SND1 exons 1-17 with BRAF exons 11-18. The fusion is predicted to be in frame and includes the kinase domain of BRAF.
ROS1	0	MSKCC-DMP	P-0004747-T01-IM5	CD74-ROS1 fusion	yes	unknown		out of frame	CD74 (NM_001025159) - ROS1 (NM_002944) fusion (CD74 exons 1-7 fused to ROS1 exons 33-43): t(5;6) (q32;q22.1) (chr5:g.149782561::chr6:g.117649107)
CD74	0	MSKCC-DMP	P-0004747-T01-IM5	CD74-ROS1 fusion	yes	unknown		out of frame	CD74 (NM_001025159) - ROS1 (NM_002944) fusion (CD74 exons 1-7 fused to ROS1 exons 33-43): t(5;6) (q32;q22.1) (chr5:g.149782561::chr6:g.117649107)
NDFIP2	0	MSKCC-DMP	P-0008795-T01-IM5	ERCC5-NDFIP2 fusion	yes	unknown		unknown	ERCC5 (NM_000123) rearrangement : chr13:g.80173550_c.2727:ERCC5inv Note: The ERCC5 (NM_000123) rearrangement event results in the inversion of ERCC5 exons 1-13. One of the breakpoints is within ERCC5 exon13.
ERCC5	0	MSKCC-DMP	P-0008795-T01-IM5	ERCC5-NDFIP2 fusion	yes	unknown		unknown	ERCC5 (NM_000123) rearrangement : chr13:g.80173550_c.2727:ERCC5inv Note: The ERCC5 (NM_000123) rearrangement event results in the inversion of ERCC5 exons 1-13. One of the breakpoints is within ERCC5 exon13.
MYO16	0	MSKCC-DMP	P-0008795-T01-IM5	IRS2-MYO16 fusion	yes	unknown		out of frame	MYO16 (NM_015011) - IRS2 (NM_003749) rearrangement : c.442-17465:MYO16_c.4013-10805:IRS2inv Note: The MYO16 (NM_015011) - IRS2 (NM_003749) rearrangement event is an inversion which results in the fusion of MYO16 exons 1-4 with IRS exon2.
IRS2	0	MSKCC-DMP	P-0008795-T01-IM5	IRS2-MYO16 fusion	yes	unknown		out of frame	MYO16 (NM_015011) - IRS2 (NM_003749) rearrangement : c.442-17465:MYO16_c.4013-10805:IRS2inv Note: The MYO16 (NM_015011) - IRS2 (NM_003749) rearrangement event is an inversion which results in the fusion of MYO16 exons 1-4 with IRS exon2.
FOXA1	0	MSKCC-DMP	P-0008795-T01-IM5	CASZ1-FOXA1 fusion	yes	unknown		unknown	FOXA1 (NM_004496) - CASZ1 (NM_001079843) rearrangement : t(1;14)(p36.22;q21.2)(chr1:g.10708606::chr14:g.38061338) Note: The FOXA1 (NM_004496) - CASZ1 (NM_001079843) rearrangement event is a translocation which results in the truncation of FOXA1 exon2. One of the breakpoints is within FOXA1 exon2.
CASZ1	0	MSKCC-DMP	P-0008795-T01-IM5	CASZ1-FOXA1 fusion	yes	unknown		unknown	FOXA1 (NM_004496) - CASZ1 (NM_001079843) rearrangement : t(1;14)(p36.22;q21.2)(chr1:g.10708606::chr14:g.38061338) Note: The FOXA1 (NM_004496) - CASZ1 (NM_001079843) rearrangement event is a translocation which results in the truncation of FOXA1 exon2. One of the breakpoints is within FOXA1 exon2.
FOXA1	0	MSKCC-DMP	P-0008795-T01-IM5	NRG1-FOXA1 fusion	yes	unknown		unknown	NRG1 (NM_013962) - FOXA1 (NM_004496) rearrangement : t(8;14)(p12;q21.1)(chr8:g.32309025::chr14:g.38061417) Note: The NRG1 (NM_013956) - FOXA1 (NM_004496) rearrangement event is a translocation which results in the fusion of NRG1 exon1 with FOXA1 exon2. One of the breakpoints is within FOXA1 exon2.
NRG1	0	MSKCC-DMP	P-0008795-T01-IM5	NRG1-FOXA1 fusion	yes	unknown		unknown	NRG1 (NM_013962) - FOXA1 (NM_004496) rearrangement : t(8;14)(p12;q21.1)(chr8:g.32309025::chr14:g.38061417) Note: The NRG1 (NM_013956) - FOXA1 (NM_004496) rearrangement event is a translocation which results in the fusion of NRG1 exon1 with FOXA1 exon2. One of the breakpoints is within FOXA1 exon2.
NCOR1	0	MSKCC-DMP	P-0007515-T01-IM5	SLFN12-NCOR1 fusion	yes	unknown		unknown	NCOR1 (NM_006311)  -  SLFN12 (NM_018042) rearrangement : c.2583:NCOR1_c.-41+1038:SLFN12inv Note: The NCOR1 (NM_006311)  -  SLFN12 (NM_018042) rearrangement is not a functional fusion and results in the inversion of exons 1 to 20 of NCOR1. The breakpoint in NCOR1 is within exon 20.Its functional significance is undetermined.
SLFN12	0	MSKCC-DMP	P-0007515-T01-IM5	SLFN12-NCOR1 fusion	yes	unknown		unknown	NCOR1 (NM_006311)  -  SLFN12 (NM_018042) rearrangement : c.2583:NCOR1_c.-41+1038:SLFN12inv Note: The NCOR1 (NM_006311)  -  SLFN12 (NM_018042) rearrangement is not a functional fusion and results in the inversion of exons 1 to 20 of NCOR1. The breakpoint in NCOR1 is within exon 20.Its functional significance is undetermined.
SND1	0	MSKCC-DMP	P-0002071-T02-IM5	BRAF-SND1 fusion	yes	unknown		in frame	SND1 (NM_014390) - BRAF (NM_004333) fusion (SND1 exons 1-10 fused with BRAF exons 9-18) : c.1152+18606:SND1_c.1141-1908:BRAFinv Note: The SND1 (NM_014390) - BRAF (NM_004333) fusion includes the kinase domain of BRAF and the resulting fusion is predicted to be in-frame.
BRAF	0	MSKCC-DMP	P-0002071-T02-IM5	BRAF-SND1 fusion	yes	unknown		in frame	SND1 (NM_014390) - BRAF (NM_004333) fusion (SND1 exons 1-10 fused with BRAF exons 9-18) : c.1152+18606:SND1_c.1141-1908:BRAFinv Note: The SND1 (NM_014390) - BRAF (NM_004333) fusion includes the kinase domain of BRAF and the resulting fusion is predicted to be in-frame.
EP300	0	MSKCC-DMP	P-0006830-T01-IM5	LRRC20-EP300 fusion	yes	unknown		unknown	LRRC20 (NM_207119) - EP300 (NM_001429) translocation : t(10;22)(q22.1;q13.2)(chr10:g.72085428::chr22:g.41488964) The LRRC20 (NM_207119) - EP300 (NM_001429) rearrangement is a translocation which results in fusion of LRRC20 exons 1-3 with the 5-UTR of EP300. Its functional significance is undetermined.
LRRC20	0	MSKCC-DMP	P-0006830-T01-IM5	LRRC20-EP300 fusion	yes	unknown		unknown	LRRC20 (NM_207119) - EP300 (NM_001429) translocation : t(10;22)(q22.1;q13.2)(chr10:g.72085428::chr22:g.41488964) The LRRC20 (NM_207119) - EP300 (NM_001429) rearrangement is a translocation which results in fusion of LRRC20 exons 1-3 with the 5-UTR of EP300. Its functional significance is undetermined.
FH	0	MSKCC-DMP	P-0005712-T01-IM5	FH-intragenic	yes	unknown		in frame	FH (NM_000143) rearrangement: c.556-906_c.1236+14dup The FH (NM_000143) rearrangement is an intragenic in frame duplication of FH exons 5-8. The functional significance is undetermined.
ARID2	0	MSKCC-DMP	P-0005712-T01-IM5	ARID2-intragenic	yes	unknown		unknown	ARID2 (NM_152641) rearrangement: c.4714_c.4922+3493dup The ARID2 (NM_152641) rearrangement is a duplication of ARID2 exons 15 and 16. One of the breakpoints is within exon 15. The functional significance is undetermined.
CARD11	0	MSKCC-DMP	P-0006948-T01-IM5	CARD11-intragenic	yes	unknown		unknown	CARD11 (NM_032415) rearrangement: c.3020-294_c.3350dup The CARD11 (NM_032415) rearrangement is an intragenic duplication of  exons 23-25. One of the breakpoints is within exon 25 of CARD11. The functional significance is undetermined.
TFE3	0	MSKCC-DMP	P-0005177-T01-IM5	NONO-TFE3 fusion	yes	unknown		in frame	NONO (NM_001145409) -TFE3 (NM_006521) fusion (NONO exons 1-8  with  TFE3 exons 6-10):  c.1131+68:NONO_ c.885+401:TFE3inv
NONO	0	MSKCC-DMP	P-0005177-T01-IM5	NONO-TFE3 fusion	yes	unknown		in frame	NONO (NM_001145409) -TFE3 (NM_006521) fusion (NONO exons 1-8  with  TFE3 exons 6-10):  c.1131+68:NONO_ c.885+401:TFE3inv
ZNF778	0	MSKCC-DMP	P-0008023-T01-IM5	ANKRD11-ZNF778 fusion	yes	unknown		unknown	ANKRD11 (NM_013275) rearrangement: c.5336:ANKRD11_chr16:g.89300582dup The ANKRD11 (NM_013275) rearrangement is duplication (47032 bp) of exons 9-13 of ANKRD11. One of the breakpoints is within exon 9. The functional significance is undetermined.
ANKRD11	0	MSKCC-DMP	P-0008023-T01-IM5	ANKRD11-ZNF778 fusion	yes	unknown		unknown	ANKRD11 (NM_013275) rearrangement: c.5336:ANKRD11_chr16:g.89300582dup The ANKRD11 (NM_013275) rearrangement is duplication (47032 bp) of exons 9-13 of ANKRD11. One of the breakpoints is within exon 9. The functional significance is undetermined.
TOP1	0	MSKCC-DMP	P-0006074-T01-IM5	SLC13A3-TOP1 fusion	yes	unknown		unknown	TOP1 (NM_003286) - SLC13A3 (NM_022829) rearrangement event : c.1813:TOP1_c.1494+1294: SLC13A3del Note: The TOP1 (NM_003286) - SLC13A3 (NM_022829) rearrangement event results in the deletion of TOP1 exons 17-21. One of the breakpoints is within TOP1 exon17.
SLC13A3	0	MSKCC-DMP	P-0006074-T01-IM5	SLC13A3-TOP1 fusion	yes	unknown		unknown	TOP1 (NM_003286) - SLC13A3 (NM_022829) rearrangement event : c.1813:TOP1_c.1494+1294: SLC13A3del Note: The TOP1 (NM_003286) - SLC13A3 (NM_022829) rearrangement event results in the deletion of TOP1 exons 17-21. One of the breakpoints is within TOP1 exon17.
SBNO2	0	MSKCC-DMP	P-0007518-T01-IM5	STK11-SBNO2 fusion	yes	unknown		unknown	SBNO2 (NM_014963) - STK11 (NM_000455)  Rearrangement  : c.3851:SBNO2_c.375-58:STK11inv Note: The SBNO2 (NM_014963) - STK11 (NM_000455)  Rearrangement results in the fusin of exons 1 to 32 of SBNO2 and exons 3 to 9 of STK11. The breakpoint in SBNO2 is within exon 32. Its functional signficance is undetermined.
STK11	0	MSKCC-DMP	P-0007518-T01-IM5	STK11-SBNO2 fusion	yes	unknown		unknown	SBNO2 (NM_014963) - STK11 (NM_000455)  Rearrangement  : c.3851:SBNO2_c.375-58:STK11inv Note: The SBNO2 (NM_014963) - STK11 (NM_000455)  Rearrangement results in the fusin of exons 1 to 32 of SBNO2 and exons 3 to 9 of STK11. The breakpoint in SBNO2 is within exon 32. Its functional signficance is undetermined.
STK11	0	MSKCC-DMP	P-0007518-T01-IM5	STK11-intragenic	yes	unknown		unknown	STK11 (NM_000455) Rearrangement : c.*16+129_750inv Note: The STK11 (NM_000455) Rearrangement results in the inversion of first 6 exons of STK11 . One of the breakpoints is within exon 6. This event could be part of the complex events in STK11.Its functional significance is undetermined.
SOCS1	0	MSKCC-DMP	P-0006071-T01-IM5	SOCS1-intragenic	yes	unknown		unknown	SOCS1 (NM_003745) rearrangment : c.-956_-151del Note: The SOCS1 (NM_003745) rearrangment event results in the deletion of SOCS1 exon1 and the promoter region of SOCS1.
NCOA3	0	MSKCC-DMP	P-0006071-T01-IM5	NCOA3-intragenic	yes	unknown		unknown	NCOA3 (NM_181659) rearrangement : c.2336_3252+1027inv Note: The NCOA3 (NM_181659) rearrangement event results in the inversion of NCOA3 exons 12-17. One of the breakpoints is within NCOA3 exon12.
PARK2	0	MSKCC-DMP	P-0006864-T01-IM5	PARK2-intragenic	yes	unknown		unknown	PARK2 (NM_004562) rearrangement: c.162_c.172-79382del The PARK2 (NM_004562) rearrangement is an intragenic deletion of exon 2. One of the breakpoints is within exon 2. (PMID: 19946270)
SMARCA4	0	MSKCC-DMP	P-0008334-T01-IM5	SMARCA4-intragenic	yes	unknown		unknown	SMARCA4 (NM_003072) rearrangement : c.4425-3445_4606inv Note: The SMARCA4 (NM_003072) rearrangement event results in the inversion of SMARCA4 exons 31-32. One of the breakpoints is within SMARCA4 exon32.
JAK3	0	MSKCC-DMP	P-0005174-T01-IM5	SLC5A2-JAK3 fusion	yes	unknown		out of frame	JAK3 (NM_000215) - SLC5A2 (NM_003041) rearrangement: t(16;19)(p13.11;p11.2)(chr16:g.31501596::chr19:g.17945650) The JAK3 (NM_000215) - SLC5A2 (NM_003041) rearrangement is a translocation which results in the out of frame fusion of  JAK3 exons 1-16 with SLCSA2 exon 14. The functional significance is undetermined.
SLC5A2	0	MSKCC-DMP	P-0005174-T01-IM5	SLC5A2-JAK3 fusion	yes	unknown		out of frame	JAK3 (NM_000215) - SLC5A2 (NM_003041) rearrangement: t(16;19)(p13.11;p11.2)(chr16:g.31501596::chr19:g.17945650) The JAK3 (NM_000215) - SLC5A2 (NM_003041) rearrangement is a translocation which results in the out of frame fusion of  JAK3 exons 1-16 with SLCSA2 exon 14. The functional significance is undetermined.
MIR873	0	MSKCC-DMP	P-0008664-T01-IM5	EGFL7-MIR873 fusion	yes	unknown		unknown	EGFL7 (NM_201446) rearrangement: chr9:g.30093113_c.290:EGFL7del Note: The EGFL7 (NM_201446) rearrangement results in the deletion of EGFL7 exons 1-5. One of the breakpoints is within exon 5 of EGFL7. The functional significance of this rearrangement is undetermined.
EGFL7	0	MSKCC-DMP	P-0008664-T01-IM5	EGFL7-MIR873 fusion	yes	unknown		unknown	EGFL7 (NM_201446) rearrangement: chr9:g.30093113_c.290:EGFL7del Note: The EGFL7 (NM_201446) rearrangement results in the deletion of EGFL7 exons 1-5. One of the breakpoints is within exon 5 of EGFL7. The functional significance of this rearrangement is undetermined.
NCOR1	0	MSKCC-DMP	P-0008932-T01-IM5	CD82-NCOR1 fusion	yes	unknown		unknown	NCOR1 (NM_006311) Rearrangement : t(11;17)(11p11.2;17p12)(chr11:g.44516827::chr17:g.15935918 ) Note: The NCOR1 (NM_006311) Rearrangement results in the partial deletion of the exon 46 of NCOR1. Its functional significance is undetermined.
CD82	0	MSKCC-DMP	P-0008932-T01-IM5	CD82-NCOR1 fusion	yes	unknown		unknown	NCOR1 (NM_006311) Rearrangement : t(11;17)(11p11.2;17p12)(chr11:g.44516827::chr17:g.15935918 ) Note: The NCOR1 (NM_006311) Rearrangement results in the partial deletion of the exon 46 of NCOR1. Its functional significance is undetermined.
TP53	0	MSKCC-DMP	P-0009044-T01-IM5	ANTXR2-TP53 fusion	yes	unknown		unknown	TP53 ( NM_000546) Rearrangement : t(4;17)(4q21.21;17p13.1)(chr4:g.80921091::chr17:g.7580615 ) Note: The TP53 ( NM_000546) Rearrangement is a translocation event which results in the truncation of exons 2 to 11 of TP53.The breakpoint is 703bp before the transcription start site. Its functional significance is undetermined.
ANTXR2	0	MSKCC-DMP	P-0009044-T01-IM5	ANTXR2-TP53 fusion	yes	unknown		unknown	TP53 ( NM_000546) Rearrangement : t(4;17)(4q21.21;17p13.1)(chr4:g.80921091::chr17:g.7580615 ) Note: The TP53 ( NM_000546) Rearrangement is a translocation event which results in the truncation of exons 2 to 11 of TP53.The breakpoint is 703bp before the transcription start site. Its functional significance is undetermined.
DICER1	0	MSKCC-DMP	P-0007176-T01-IM5	CLMN-DICER1 fusion	yes	unknown		out of frame	DICER1 (NM_030621) - CLMN (NM_024734) rearrangement : c.573+134_c.609-390dup Note: DICER1 (NM_030621) - CLMN (NM_024734) rearrangement event is a duplication which results in the fusion of DICER1 exons 1-5 and CLMN exons 7-13. The functional significance is undetermined.
CLMN	0	MSKCC-DMP	P-0007176-T01-IM5	CLMN-DICER1 fusion	yes	unknown		out of frame	DICER1 (NM_030621) - CLMN (NM_024734) rearrangement : c.573+134_c.609-390dup Note: DICER1 (NM_030621) - CLMN (NM_024734) rearrangement event is a duplication which results in the fusion of DICER1 exons 1-5 and CLMN exons 7-13. The functional significance is undetermined.
BRAF	0	MSKCC-DMP	P-0007861-T01-IM5	AGAP3-BRAF fusion	yes	unknown		in frame	AGAP3 (NM_031946) - BRAF (NM_004333) rearrangement: c.1326+220:AGAP3_c.1141-3313:BRAFinv Note: The AGAP3 (NM_031946) - BRAF (NM_004333) rearrangement is an inversion which results the fusion of AGAP3 exons 1-10 with BRAF exons 9-18, including the kinase domain of BRAF. This fusion has been previously described in colon cancer and melanoma. (PMID: 26314551)
AGAP3	0	MSKCC-DMP	P-0007861-T01-IM5	AGAP3-BRAF fusion	yes	unknown		in frame	AGAP3 (NM_031946) - BRAF (NM_004333) rearrangement: c.1326+220:AGAP3_c.1141-3313:BRAFinv Note: The AGAP3 (NM_031946) - BRAF (NM_004333) rearrangement is an inversion which results the fusion of AGAP3 exons 1-10 with BRAF exons 9-18, including the kinase domain of BRAF. This fusion has been previously described in colon cancer and melanoma. (PMID: 26314551)
ASXL1	0	MSKCC-DMP	P-0005933-T01-IM5	ASXL1-intragenic	yes	unknown		unknown	ASXL1 (NM_015338) rearrangement: c.253-14849_c.1253dup. The ASXL1 (NM_015338) rearrangement is an intragenic duplication exons 4-11. One of the breakpoints is with exon 11 of ASXL1. The functional significance is undetermined.
BRIP1	0	MSKCC-DMP	P-0005691-T01-IM5	PITPNC1-BRIP1 fusion	yes	unknown		unknown	BRIP1 (NM_032043)  -  PITPNC1 (NM_012417)  Rearrangement : c.3745:BRIP1_c.48+1232:PITPNC1inv Note: The BRIP1 (NM_032043)  -  PITPNC1 (NM_012417)  Rearrangement  results in the fusion of exons 1 to 20 of BRIP1 with exons 1 to 9 of PITPNC1 .The breakpoint in BRIP1 is within exon 20. Its functional significance is undetermined.
PITPNC1	0	MSKCC-DMP	P-0005691-T01-IM5	PITPNC1-BRIP1 fusion	yes	unknown		unknown	BRIP1 (NM_032043)  -  PITPNC1 (NM_012417)  Rearrangement : c.3745:BRIP1_c.48+1232:PITPNC1inv Note: The BRIP1 (NM_032043)  -  PITPNC1 (NM_012417)  Rearrangement  results in the fusion of exons 1 to 20 of BRIP1 with exons 1 to 9 of PITPNC1 .The breakpoint in BRIP1 is within exon 20. Its functional significance is undetermined.
NOTCH2	0	MSKCC-DMP	P-0005255-T01-IM5	PIP5K1A-NOTCH2 fusion	yes	unknown		unknown	PIP5K1A  (NM_001135638) - NOTCH2 (NM_024408) Rearrangement: c.86-2440:PIP5K1A_c.4982:NOTCH2inv PIP5K1A  (NM_001135638) - NOTCH2 (NM_024408) rearrangement is an inversion that results in the fusion of exon 1 of PIP5K1A with exons 27-34 of NOTCH2. One of the breakpoints is within exon 27 of NOTCH2. Its functional significance is undetermined.
PIP5K1A	0	MSKCC-DMP	P-0005255-T01-IM5	PIP5K1A-NOTCH2 fusion	yes	unknown		unknown	PIP5K1A  (NM_001135638) - NOTCH2 (NM_024408) Rearrangement: c.86-2440:PIP5K1A_c.4982:NOTCH2inv PIP5K1A  (NM_001135638) - NOTCH2 (NM_024408) rearrangement is an inversion that results in the fusion of exon 1 of PIP5K1A with exons 27-34 of NOTCH2. One of the breakpoints is within exon 27 of NOTCH2. Its functional significance is undetermined.
NOTCH1	0	MSKCC-DMP	P-0006217-T01-IM5	TRAF2-NOTCH1 fusion	yes	unknown		unknown	TRAF2 (NM_021138) - NOTCH1 (NM_017617) rearrangement: c.-28-4310:TRAF2_c.3204:NOTCH1inv The TRAF2 (NM_021138) - NOTCH1 (NM_017617) rearrangement is an inversion (386050 bp) which results in the fusion of the 5-UTR region of TRAF2 with NOTCH1 exons 20-34. One of the breakpoints is within exon 20 of NOTCH1. The functional significance is undetermined.
TRAF2	0	MSKCC-DMP	P-0006217-T01-IM5	TRAF2-NOTCH1 fusion	yes	unknown		unknown	TRAF2 (NM_021138) - NOTCH1 (NM_017617) rearrangement: c.-28-4310:TRAF2_c.3204:NOTCH1inv The TRAF2 (NM_021138) - NOTCH1 (NM_017617) rearrangement is an inversion (386050 bp) which results in the fusion of the 5-UTR region of TRAF2 with NOTCH1 exons 20-34. One of the breakpoints is within exon 20 of NOTCH1. The functional significance is undetermined.
FGFR1	0	MSKCC-DMP	P-0008406-T01-IM5	TACC1-FGFR1 fusion	yes	unknown		unknown	FGFR1 (NM_001174067) rearrangement: chr8:g.38577463_c.716inv The FGFR1 (NM_001174067) rearrangement is an inversion of exons 1-7 of FGFR1. One of the breakpoints is within exon 7. The functional significance is undetermined.
TACC1	0	MSKCC-DMP	P-0008406-T01-IM5	TACC1-FGFR1 fusion	yes	unknown		unknown	FGFR1 (NM_001174067) rearrangement: chr8:g.38577463_c.716inv The FGFR1 (NM_001174067) rearrangement is an inversion of exons 1-7 of FGFR1. One of the breakpoints is within exon 7. The functional significance is undetermined.
RET	0	MSKCC-DMP	P-0005168-T01-IM5	CCDC6-RET fusion	yes	unknown		out of frame	CCDC6  (NM_005436) - RET  (NM_020975)  Fusion ( CCDC6 Exon1 fused to RET Exon10 )  :  c.304-11493:CCDC6_c.1760-207:RETinv
CCDC6	0	MSKCC-DMP	P-0005168-T01-IM5	CCDC6-RET fusion	yes	unknown		out of frame	CCDC6  (NM_005436) - RET  (NM_020975)  Fusion ( CCDC6 Exon1 fused to RET Exon10 )  :  c.304-11493:CCDC6_c.1760-207:RETinv
KIF5B	0	MSKCC-DMP	P-0000208-T02-IM5	RET-KIF5B fusion	yes	unknown		in frame	KIF5B (NM_004521) - RET (NM_020975) fusion (KIF5B exons 1-15 fused with RET exons 12- 20): c.1726-1971:KIF5B_c.2137-385:RETinv (PMID: 22327624)
RET	0	MSKCC-DMP	P-0000208-T02-IM5	RET-KIF5B fusion	yes	unknown		in frame	KIF5B (NM_004521) - RET (NM_020975) fusion (KIF5B exons 1-15 fused with RET exons 12- 20): c.1726-1971:KIF5B_c.2137-385:RETinv (PMID: 22327624)
SLIT3	0	MSKCC-DMP	P-0007500-T01-IM5	FGFR4-SLIT3 fusion	yes	unknown		unknown	FGFR4 (NM_213647) rearrangement: chr5:g.168772933 _c.1057+108:FGFR4dup The FGFR4 (NM_213647) rearrangement is a duplication of exons 1-8. The functional significance is undetermined.
